file_id,n_child,n_adult,chi_ratio,mlu_child,mlu_adult,ttr_child,ttr_adult,avg_chars_child,avg_chars_adult
td_Providence_020123,443,790,0.359,2.517,5.181,0.261,0.195,31.0,42.2
td_Providence_020124,247,436,0.362,5.858,5.761,0.231,0.221,48.7,45.4
td_Providence_020127,599,879,0.405,1.962,4.296,0.123,0.128,27.6,32.7
td_Providence_020202,657,910,0.419,4.181,5.469,0.147,0.172,40.2,41.9
td_Providence_020208,322,426,0.43,2.438,4.977,0.238,0.26,29.6,39.3
td_Providence_020209,479,777,0.381,2.075,4.844,0.134,0.154,27.7,38.6
td_Providence_020215a,391,834,0.319,3.087,4.52,0.22,0.194,32.9,39.6
td_Providence_020215b,451,823,0.354,3.055,4.693,0.197,0.221,33.0,39.2
td_Providence_020217,545,649,0.456,4.006,5.729,0.193,0.198,38.3,39.4
td_Providence_020221,458,618,0.426,1.402,4.55,0.154,0.161,24.5,35.3
td_Providence_020222,481,725,0.399,2.455,5.164,0.172,0.198,29.9,42.8
td_Providence_020300,565,882,0.39,2.065,3.457,0.088,0.161,27.8,33.7
td_Providence_020305,392,576,0.405,2.472,4.326,0.215,0.228,29.0,32.9
td_Providence_020306,223,364,0.38,5.184,5.22,0.229,0.231,45.2,43.9
td_Providence_020307,547,699,0.439,2.016,4.441,0.17,0.146,28.5,33.5
td_Providence_020312,279,467,0.374,2.953,3.944,0.204,0.241,30.8,28.5
td_Providence_020314,567,886,0.39,1.601,3.465,0.078,0.167,26.0,33.1
td_Providence_020316,417,511,0.449,3.319,6.313,0.181,0.195,34.5,42.9
td_Providence_020317,467,663,0.413,3.657,6.593,0.183,0.193,35.1,46.9
td_Providence_020319,425,854,0.332,2.591,4.527,0.203,0.219,30.4,37.3
td_Providence_020324,591,873,0.404,4.428,5.849,0.171,0.161,40.5,46.1
td_Providence_020402,466,950,0.329,3.543,4.4,0.211,0.197,34.8,36.5
td_Providence_020403,561,536,0.511,2.59,5.058,0.166,0.162,30.5,36.7
td_Providence_020409,479,807,0.372,3.461,8.015,0.245,0.192,34.6,54.8
td_Providence_020411,439,288,0.604,3.87,5.483,0.177,0.272,37.3,43.0
td_Providence_020416,239,283,0.458,3.921,6.576,0.273,0.251,37.0,45.6
td_Providence_020419,467,805,0.367,2.833,4.989,0.228,0.202,32.2,37.8
td_Providence_020424,743,711,0.511,3.451,5.307,0.178,0.208,36.8,41.8
td_Providence_020427,442,654,0.403,3.986,6.606,0.205,0.188,37.7,46.1
td_Providence_020428,479,729,0.397,3.33,4.704,0.204,0.21,33.8,35.3
td_Providence_020500,482,772,0.384,2.981,5.451,0.2,0.186,32.3,43.4
td_Providence_020501,564,869,0.394,2.89,5.096,0.183,0.154,31.7,38.9
td_Providence_020506,353,386,0.478,3.989,7.433,0.207,0.189,38.1,52.9
td_Providence_020507,223,421,0.346,4.004,6.751,0.214,0.205,37.2,47.1
td_Providence_020514,503,893,0.36,4.264,5.778,0.161,0.172,39.7,43.6
td_Providence_020515,536,813,0.397,2.603,5.637,0.216,0.176,30.6,44.2
td_Providence_020516,477,912,0.343,2.329,5.311,0.229,0.137,29.5,39.0
td_Providence_020519,747,789,0.486,4.086,4.933,0.165,0.196,39.6,38.6
td_Providence_020523,674,634,0.515,2.117,4.136,0.149,0.187,28.6,33.3
td_Providence_020527,436,453,0.49,3.197,5.492,0.187,0.209,33.3,39.7
td_Providence_020611,519,670,0.437,3.218,5.306,0.166,0.181,33.2,38.9
td_Providence_020612,446,589,0.431,3.168,6.112,0.222,0.2,33.2,46.4
td_Providence_020616,394,386,0.505,3.492,4.505,0.234,0.241,33.5,34.1
td_Providence_020618,214,328,0.395,3.014,5.927,0.264,0.299,31.2,45.3
td_Providence_020620,645,819,0.441,2.676,3.973,0.182,0.192,30.4,26.1
td_Providence_020625,519,467,0.526,3.715,6.231,0.178,0.203,35.8,43.1
td_Providence_020626,413,522,0.442,2.69,5.184,0.16,0.168,30.6,40.1
td_Providence_020700,699,688,0.504,4.273,4.542,0.165,0.182,38.2,32.2
td_Providence_020701,365,603,0.377,3.515,8.259,0.234,0.224,35.2,58.0
td_Providence_020703,449,620,0.42,3.425,6.826,0.198,0.173,35.0,47.5
td_Providence_020705,433,757,0.364,2.427,4.624,0.153,0.157,30.1,28.4
td_Providence_020707,445,647,0.408,3.674,5.219,0.202,0.212,35.3,38.7
td_Providence_020708,426,614,0.41,2.73,5.647,0.221,0.236,30.7,40.5
td_Providence_020709,469,833,0.36,3.015,5.168,0.233,0.198,32.2,37.4
td_Providence_020713,592,810,0.422,3.679,5.84,0.199,0.195,35.7,40.7
td_Providence_020716,465,821,0.362,3.222,5.113,0.214,0.171,33.5,38.6
td_Providence_020720,429,825,0.342,2.904,5.558,0.226,0.176,31.8,40.9
td_Providence_020725,440,836,0.345,3.311,5.019,0.231,0.19,34.3,40.0
td_Providence_020726,589,882,0.4,2.443,5.866,0.149,0.165,30.0,44.9
td_Providence_020727,447,639,0.412,3.817,6.1,0.183,0.171,37.2,40.4
td_Providence_020806,622,777,0.445,3.318,5.532,0.205,0.176,34.2,40.0
td_Providence_020807,403,759,0.347,2.519,5.217,0.291,0.257,30.6,40.6
td_Providence_020808,481,727,0.398,3.164,3.979,0.164,0.184,32.2,28.4
td_Providence_020810,571,965,0.372,2.737,4.159,0.189,0.178,31.6,34.2
td_Providence_020811,383,733,0.343,3.402,5.138,0.214,0.193,34.7,39.6
td_Providence_020813,514,799,0.391,3.232,5.87,0.195,0.197,34.0,41.8
td_Providence_020816,700,653,0.517,2.104,4.605,0.138,0.196,29.1,36.2
td_Providence_020819,434,731,0.373,3.422,6.048,0.209,0.175,35.5,47.1
td_Providence_020822,371,403,0.479,2.973,4.199,0.191,0.203,30.4,32.3
td_Providence_020828,536,534,0.501,2.216,4.79,0.2,0.228,30.0,34.7
td_Providence_020900,631,928,0.405,3.653,5.131,0.18,0.211,36.7,37.6
td_Providence_020904,458,976,0.319,2.786,6.073,0.252,0.196,31.8,43.4
td_Providence_020905,697,681,0.506,2.514,3.759,0.217,0.183,29.9,32.4
td_Providence_020907,581,829,0.412,3.258,5.007,0.154,0.186,34.1,37.1
td_Providence_020908,512,452,0.531,2.781,4.659,0.181,0.24,30.8,34.6
td_Providence_020909,420,813,0.341,2.876,5.165,0.295,0.226,32.7,40.2
td_Providence_020917,627,694,0.475,4.182,5.34,0.151,0.186,39.0,39.1
td_Providence_020920,537,849,0.387,3.544,5.224,0.189,0.19,36.6,34.7
td_Providence_020926,791,693,0.533,2.397,3.975,0.152,0.208,29.6,31.4
td_Providence_021001,564,792,0.416,4.475,5.859,0.15,0.144,40.6,39.3
td_Providence_021002,486,542,0.473,3.426,4.723,0.163,0.209,33.8,34.6
td_Providence_021008,479,871,0.355,3.887,5.546,0.234,0.215,37.2,42.8
td_Providence_021008a,274,423,0.393,6.489,6.031,0.196,0.203,49.4,42.9
td_Providence_021008b,418,548,0.433,5.904,6.089,0.179,0.18,48.0,45.1
td_Providence_021011,611,620,0.496,2.704,4.785,0.124,0.155,30.6,35.6
td_Providence_021016,303,473,0.39,2.617,4.924,0.199,0.295,29.6,38.4
td_Providence_021018,550,763,0.419,3.551,5.321,0.157,0.183,36.9,36.7
td_Providence_021025,337,643,0.344,3.018,5.788,0.282,0.223,32.8,44.8
td_Providence_021027,421,426,0.497,7.926,6.967,0.154,0.208,56.9,47.0
td_Providence_021028,368,678,0.352,3.103,5.412,0.185,0.201,31.4,38.7
td_Providence_021100,373,728,0.339,2.177,4.666,0.252,0.146,27.8,34.3
td_Providence_021101,521,888,0.37,3.313,5.159,0.186,0.181,35.2,37.3
td_Providence_021114,482,644,0.428,5.851,6.172,0.16,0.17,45.9,42.2
td_Providence_021122,661,753,0.467,1.973,3.858,0.205,0.221,26.3,30.8
td_Providence_021123,477,491,0.493,4.855,5.67,0.18,0.214,42.0,40.0
td_Providence_021125,616,786,0.439,2.888,5.758,0.203,0.213,30.3,45.4
td_Providence_021126,290,412,0.413,3.045,5.43,0.204,0.277,32.4,41.2
td_Providence_030000,626,522,0.545,4.727,5.439,0.141,0.226,41.5,37.4
td_Providence_030003,491,727,0.403,2.921,6.426,0.176,0.223,30.5,49.9
td_Providence_030006,784,790,0.498,3.034,3.941,0.155,0.17,32.9,32.1
td_Providence_030010,646,763,0.458,3.093,5.548,0.197,0.207,32.0,44.8
td_Providence_030011,572,682,0.456,3.044,4.553,0.2,0.161,32.5,33.4
td_Providence_030025,442,631,0.412,2.783,5.008,0.221,0.176,30.1,41.5
td_Providence_030028,596,940,0.388,3.18,4.851,0.162,0.118,32.8,33.9
td_Providence_030100,497,674,0.424,3.117,5.819,0.234,0.224,31.5,46.9
td_Providence_030103,556,704,0.441,2.453,4.405,0.188,0.178,30.4,34.5
td_Providence_030119,374,662,0.361,2.626,4.083,0.268,0.229,30.5,32.3
