file_id,cohort,U,T,dm_per_utt,dm_per_1k,disf_per_utt,disf_per_1k,pron1_per_1k,pron2_per_1k,pron3_per_1k,msv_per_1k
td_Brown_040309,TD,726,3971,0.0758,13.85,0.0069,1.26,66.99,29.72,25.43,13.35
td_Brown_040313,TD,266,1027,0.1466,37.97,0.0301,7.79,38.95,44.79,40.9,4.87
td_Brown_040326,TD,273,1181,0.0842,19.48,0.0879,20.32,43.18,18.63,42.34,11.85
td_Brown_040401,TD,252,929,0.1667,45.21,0.1151,31.22,45.21,9.69,50.59,18.3
td_Brown_040411,TD,309,1056,0.0809,23.67,0.0485,14.2,49.24,15.15,41.67,16.1
td_Brown_040418,TD,272,865,0.1213,38.15,0.0919,28.9,36.99,24.28,39.31,6.94
td_Brown_040504,TD,287,1025,0.0592,16.59,0.0697,19.51,61.46,10.73,48.78,14.63
td_Brown_040508,TD,260,974,0.0615,16.43,0.1,26.69,73.92,20.53,40.04,22.59
td_Brown_040514,TD,265,1008,0.0717,18.85,0.0679,17.86,51.59,22.82,49.6,22.82
td_Brown_040522,TD,297,1107,0.0842,22.58,0.064,17.16,65.94,18.07,63.23,20.78
td_Brown_040529,TD,338,1488,0.0651,14.78,0.0562,12.77,54.44,26.21,33.6,11.42
td_Brown_040605,TD,254,921,0.0591,16.29,0.0394,10.86,60.8,15.2,44.52,9.77
td_Brown_040624,TD,283,1008,0.0671,18.85,0.0353,9.92,84.33,33.73,43.65,21.83
td_Brown_040700,TD,265,1044,0.0302,7.66,0.1019,25.86,66.09,49.81,29.69,10.54
td_Brown_040711,TD,268,1012,0.041,10.87,0.1119,29.64,60.28,21.74,53.36,20.75
td_Brown_040724,TD,258,1198,0.1318,28.38,0.0271,5.84,59.27,9.18,56.76,15.03
td_Brown_040813,TD,260,1118,0.0538,12.52,0.0538,12.52,40.25,21.47,32.2,16.99
td_Brown_040820,TD,241,1127,0.0498,10.65,0.0249,5.32,54.13,22.18,61.22,17.75
td_Brown_040904,TD,226,957,0.1372,32.39,0.0487,11.49,64.79,7.31,45.98,4.18
td_Brown_040912,TD,271,1096,0.1033,25.55,0.0517,12.77,66.61,9.12,63.87,23.72
td_Brown_040919,TD,168,614,0.0833,22.8,0.0655,17.92,68.4,16.29,35.83,19.54
td_Brown_041006,TD,269,1021,0.052,13.71,0.0409,10.77,61.7,19.59,30.36,6.86
td_Brown_041021,TD,234,772,0.0427,12.95,0.0214,6.48,60.88,14.25,53.11,10.36
td_Brown_041027,TD,246,1036,0.0732,17.37,0.061,14.48,63.71,22.2,37.64,11.58
td_Brown_041104,TD,203,744,0.064,17.47,0.0345,9.41,55.11,5.38,52.42,28.23
td_Brown_041113,TD,230,1038,0.1391,30.83,0.0739,16.38,64.55,13.49,30.83,9.63
td_Brown_041119,TD,246,848,0.0569,16.51,0.0407,11.79,60.14,20.05,43.63,15.33
td_Brown_041126,TD,198,679,0.0657,19.15,0.0202,5.89,50.07,38.29,47.13,14.73
td_Brown_050002,TD,234,837,0.0513,14.34,0.0342,9.56,44.21,16.73,46.59,10.75
td_Brown_050010,TD,231,873,0.0346,9.16,0.0303,8.02,56.13,16.04,46.96,10.31
td_Brown_050016,TD,257,997,0.0661,17.05,0.0623,16.05,63.19,31.09,57.17,18.05
td_Brown_050025,TD,254,977,0.1339,34.8,0.0197,5.12,44.01,27.64,48.11,8.19
td_Providence_010111,TD,208,310,0.0,0.0,0.1683,112.9,0.0,0.0,6.45,0.0
td_Providence_010228,TD,509,629,0.0,0.0,0.1159,93.8,6.36,1.59,3.18,0.0
td_Providence_010307,TD,447,759,0.0,0.0,0.1544,90.91,1.32,0.0,0.0,0.0
td_Providence_010313,TD,538,775,0.0,0.0,0.0093,6.45,0.0,0.0,0.0,0.0
td_Providence_010325,TD,595,1350,0.0,0.0,0.1513,66.67,12.59,0.0,0.74,0.74
td_Providence_010400,TD,625,1013,0.0016,0.99,0.1008,62.19,2.96,2.96,11.85,0.0
td_Providence_010410,TD,600,1245,0.0067,3.21,0.05,24.1,0.0,0.0,0.0,0.0
td_Providence_010411,TD,503,880,0.0,0.0,0.2167,123.86,0.0,3.41,1.14,0.0
td_Providence_010423,TD,449,1213,0.0022,0.82,0.0824,30.5,0.82,0.0,4.12,1.65
td_Providence_010426,TD,359,575,0.0,0.0,0.1253,78.26,1.74,8.7,1.74,0.0
td_Providence_010502,TD,437,1426,0.0,0.0,0.2609,79.94,0.7,0.0,5.61,0.0
td_Providence_010508,TD,476,700,0.0,0.0,0.0168,11.43,1.43,1.43,0.0,0.0
td_Providence_010511,TD,565,1630,0.0018,0.61,0.0779,26.99,0.61,0.61,5.52,0.0
td_Providence_010517,TD,592,1213,0.0034,1.65,0.0861,42.04,4.95,0.82,12.37,4.12
td_Providence_010521,TD,533,704,0.0,0.0,0.0356,26.99,0.0,0.0,0.0,0.0
td_Providence_010524,TD,368,770,0.0,0.0,0.2582,123.38,0.0,0.0,3.9,0.0
td_Providence_010602,TD,693,1127,0.0,0.0,0.062,38.15,3.55,7.1,11.54,1.77
td_Providence_010604,TD,542,1323,0.0,0.0,0.3118,127.74,5.29,1.51,6.8,0.76
td_Providence_010609,TD,549,1515,0.0036,1.32,0.2441,88.45,5.28,1.32,10.56,0.0
